,Lan,CUI,P,LUI,PF,SUI,name
493381,ENG,C0000974,P,L0675163,PF,S0009498,Acetanilides
493399,ENG,C0000979,P,L0000975,PF,S0009531,Acetates
493487,ENG,C0000985,P,L0000983,PF,S0009539,Acetic Acids
493498,ENG,C0000987,P,L0000986,PF,S0009540,Acetic Anhydrides
499163,ENG,C0001811,P,L0001779,PF,S0011788,Aging
504077,ENG,C0002585,P,L0002584,PF,S0013198,Aminopyridines
504624,ENG,C0002667,P,L0002658,PF,S0013334,Amphetamines
505021,ENG,C0002710,P,L0030870,PF,S1237034,Pentanol
509205,ENG,C0003163,P,L0003162,PF,S0014366,Anthracenes
513492,ENG,C0003701,P,L0003695,PF,S0015551,Arachidonic Acids
521315,ENG,C0004916,P,L1226096,PF,S0018090,Beds
522142,ENG,C0005024,P,L0005023,PF,S0018318,Benzaldehydes
522301,ENG,C0005048,P,L0005047,PF,S0018344,Benzidines
522617,ENG,C0005101,P,L0005100,PF,S0018404,Benzyl Alcohols
526362,ENG,C0005768,P,L0005767,PF,S1450747,In Blood
528595,ENG,C0006021,P,L0006020,PF,S0020238,Boric Acids
532043,ENG,C0006470,P,L0006469,PF,S0021095,Butadienes
532062,ENG,C0006476,P,L0006474,PF,S0021100,Butanes
533379,ENG,C0006712,P,L0006711,PF,S0021617,Calcium Phosphates
542077,ENG,C0007807,P,L0007806,PF,S1450746,In Cerebrospinal Fluid
553999,ENG,C0009504,P,L1224408,PF,S0621432,Complement component C1s
558396,ENG,C0010207,P,L0010206,PF,S0028571,Coumarins
559762,ENG,C0010376,P,L0010375,PF,S0028959,Crotonic Acids
560768,ENG,C0010568,P,L0010566,PF,S0029416,Cyclohexanes
560775,ENG,C0010570,P,L0010569,PF,S0029418,Cyclohexanols
560816,ENG,C0010580,P,L0010579,PF,S0029434,Cyclopentanes
560909,ENG,C0010588,P,L0010587,PF,S0029441,Cyclopropanes
560994,ENG,C0010594,P,L0010593,PF,S0029450,Cyclosporins
562044,ENG,C0010754,P,L0010749,PF,S3152450,Cytochromes c'
572080,ENG,C0012282,P,L0008367,PF,S0024883,Cholestanol
572788,ENG,C0012462,P,L0012461,PF,S0033241,Dinitrocresols
587647,ENG,C0014696,P,L0014695,PF,S0038652,Ergocalciferols
587800,ENG,C0014711,P,L1873041,PF,S2176968,Ergotamines
590945,ENG,C0015060,P,L0014994,PF,S0039313,Ethyl Ethers
590967,ENG,C0015069,P,L0015068,PF,S0039324,Ethylamines
591032,ENG,C0015080,P,L0015079,PF,S0039334,Ethylene Dibromides
591050,ENG,C0015082,P,L0015081,PF,S0039335,Ethylene Dichlorides
591068,ENG,C0015086,P,L0015083,PF,S0039340,Ethylene Glycols
591110,ENG,C0015093,P,L0015091,PF,S0039347,Ethylenediamines
591112,ENG,C0015096,P,L0015075,PF,S0039351,Ethylenes
602399,ENG,C0016578,P,L0016576,PF,S0042564,Formic Acids
612697,ENG,C0017951,P,L0017945,PF,S0045453,Glycols
621047,ENG,C0018961,P,L0018959,PF,S0047515,Hematoporphyrins
625536,ENG,C0019462,P,L0019462,PF,S0048266,Hexanoic Acids
625653,ENG,C0019478,P,L0019477,PF,S0048283,Hexosamines
629009,ENG,C0019879,P,L0019879,PF,S0049045,Homocystine
630191,ENG,C0020033,P,L0018134,PF,S0049518,Host vs Graft Reaction
631347,ENG,C0020233,P,L0020231,PF,S0049977,Hydrazines
631946,ENG,C0020307,P,L0020306,PF,S0050129,Hydroquinones
632202,ENG,C0020363,P,L0020362,PF,S0050204,Hydroxylamines
635909,ENG,C0020691,P,L0020684,PF,S0050753,Hypoxanthines
637088,ENG,C0020924,P,L0020923,PF,S0051254,Imidazoles
639578,ENG,C0021242,P,L0021236,PF,S0052160,Indoles
646050,ENG,C0022212,P,L0022210,PF,S0054627,Isonicotinic Acids
648717,ENG,C0022638,P,L0022637,PF,S0055384,Ketosis
652933,ENG,C0023140,P,L0023139,PF,S0056374,Lauric Acids
657318,ENG,C0023504,P,L0023503,PF,S0057234,Leukocidins
658250,ENG,C0023592,P,L0023591,PF,S0057397,Levulinic Acids
659147,ENG,C0023700,P,L0023693,PF,S0057652,Lighting
659363,ENG,C0023750,P,L0023749,PF,S0057773,Linoleic Acids
665930,ENG,C0024577,P,L0024574,PF,S0059600,Maleic Anhydrides
676885,ENG,C0026254,P,L0026254,PF,S0062852,Mitomycins
678560,ENG,C0026561,P,L0026560,PF,S0063574,Morpholines
680661,ENG,C0026793,P,L0026792,PF,S0064142,Muramic Acids
681861,ENG,C0026931,P,L0026930,PF,S0064446,Mycolic Acids
683395,ENG,C0027139,P,L0027138,PF,S0064762,Myristic Acids
684512,ENG,C0027378,P,L0027375,PF,S0065139,Naphthalenes
687415,ENG,C0027754,P,L0027754,PF,S0066070,Nerve Growth Factors
687905,ENG,C0027802,P,L0027801,PF,S0066275,Neuraminic Acids
690560,ENG,C0028188,P,L0028187,PF,S0066914,Nitrophenols
692465,ENG,C0028688,P,L0019860,PF,S0067843,Nursing Homes
693351,ENG,C0028800,P,L1223070,PF,S0068244,Occupational Health Nursing
693479,ENG,C0028823,P,L0028822,PF,S0068278,Octanes
694236,ENG,C0028929,P,L0028928,PF,S0068553,Oleic Acids
701394,ENG,C0030125,P,L0002590,PF,S1577881,aminosalicylic acid
701939,ENG,C0030208,P,L0030208,PF,S0070427,Paintings
702156,ENG,C0030235,P,L0030234,PF,S0070480,Palmitic Acids
707497,ENG,C0030867,P,L0030866,PF,S0071679,Pentanes
709561,ENG,C0031179,P,L0031179,PF,S0072319,Peroxidases
710731,ENG,C0031368,P,L0031367,PF,S0072840,Phenanthrenes
711102,ENG,C0031436,P,L0031434,PF,S0072908,Phenothiazines
711353,ENG,C0031480,P,L0031479,PF,S0072956,Phenylhydrazines
711447,ENG,C0031500,P,L0031499,PF,S0072975,Phenylpyruvic Acids
711999,ENG,C0031612,P,L0031610,PF,S0073240,Phosphatidic Acids
712563,ENG,C0031702,P,L0031700,PF,S0073389,Phosphoric Acids
713610,ENG,C0031884,P,L0031883,PF,S0073761,Picolines
